time,longitude,latitude,pressure_hPa,geopotential height_m,temperature_C,dew point temperature_C,ice point temperature_C,relative humidity_%,humidity wrt ice_%,mixing ratio_g/kg,wind direction_degree,wind speed_m/s
2023-03-17 23:45:00,103.0000,21.3700, 959.0,  475, 17.6, 17.4, 17.4, 99, 99,13.14,  0, 0.0
2023-03-17 23:45:00,103.0000,21.3700, 958.0,  484, 17.5, 17.3, 17.3, 99, 99,13.11,185, 1.0
2023-03-17 23:45:00,103.0000,21.3700, 941.0,  636, 16.4, 16.3, 16.3, 99, 99,12.48,274, 0.5
2023-03-17 23:45:00,103.0000,21.3700, 925.0,  782, 17.2, 16.9, 16.9, 98, 98,13.20,  0, 0.0
2023-03-17 23:45:00,103.0000,21.3700, 899.0, 1027, 18.4, 16.6, 16.6, 89, 89,13.33,314, 2.4
2023-03-17 23:45:00,103.0000,21.3700, 879.0, 1221, 19.6, 12.6, 12.6, 64, 64,10.49,279, 4.2
2023-03-17 23:45:00,103.0000,21.3700, 850.0, 1510, 18.2, 13.7, 13.7, 75, 75,11.67,225, 7.0
2023-03-17 23:45:00,103.0000,21.3700, 849.0, 1520, 18.2, 13.7, 13.7, 75, 75,11.67,230, 7.0
2023-03-17 23:45:00,103.0000,21.3700, 837.0, 1642, 18.2, 13.5, 13.5, 74, 74,11.70,247, 7.9
2023-03-17 23:45:00,103.0000,21.3700, 835.0, 1663, 18.1, 13.3, 13.3, 74, 74,11.61,250, 8.0
2023-03-17 23:45:00,103.0000,21.3700, 781.0, 2225, 13.9,  9.1,  9.1, 73, 73, 9.32,275, 8.0
2023-03-17 23:45:00,103.0000,21.3700, 700.0, 3146,  7.0,  2.1,  2.1, 71, 71, 6.38,280,11.0
2023-03-17 23:45:00,103.0000,21.3700, 669.0, 3518,  4.4, -3.6, -3.2, 56, 56, 4.39,279,12.5
2023-03-17 23:45:00,103.0000,21.3700, 632.0, 3979,  0.4, -1.0, -0.9, 90, 90, 5.64,278,14.3
2023-03-17 23:45:00,103.0000,21.3700, 595.0, 4463, -1.3, -5.3, -4.7, 74, 75, 4.34,278,16.3
2023-03-17 23:45:00,103.0000,21.3700, 571.0, 4792, -2.5, -7.5, -6.7, 68, 70, 3.82,277,17.7
2023-03-17 23:45:00,103.0000,21.3700, 556.0, 5004, -1.7,-12.7,-11.3, 43, 43, 2.59,277,18.5
2023-03-17 23:45:00,103.0000,21.3700, 500.0, 5840, -8.3,-15.3,-13.7, 57, 62, 2.33,275,22.0
2023-03-17 23:45:00,103.0000,21.3700, 478.0, 6187,-11.3,-16.0,-14.3, 68, 76, 2.30,272,23.3
2023-03-17 23:45:00,103.0000,21.3700, 442.0, 6782,-14.7,-19.7,-17.7, 66, 76, 1.82,266,25.5
2023-03-17 23:45:00,103.0000,21.3700, 435.0, 6902,-15.4,-24.6,-22.2, 45, 53, 1.20,265,26.0
2023-03-17 23:45:00,103.0000,21.3700, 416.0, 7238,-17.3,-38.3,-34.9, 14, 17, 0.34,268,24.4
2023-03-17 23:45:00,103.0000,21.3700, 400.0, 7530,-19.1,-43.1,-39.4, 10, 12, 0.21,270,23.0
2023-03-17 23:45:00,103.0000,21.3700, 399.0, 7549,-19.1,-44.1,-40.4,  9, 11, 0.19,271,22.6
2023-03-17 23:45:00,103.0000,21.3700, 393.0, 7658,-20.0,-43.9,-40.1, 10, 12, 0.20,275,20.0
2023-03-17 23:45:00,103.0000,21.3700, 372.0, 8053,-23.4,-43.0,-39.3, 15, 19, 0.23,290,23.0
2023-03-17 23:45:00,103.0000,21.3700, 311.0, 9343,-34.5,-40.2,-36.7, 56, 79, 0.37,260,22.0
2023-03-17 23:45:00,103.0000,21.3700, 303.0, 9531,-36.1,-39.8,-36.3, 69, 98, 0.40,252,22.8
2023-03-17 23:45:00,103.0000,21.3700, 301.0, 9577,-36.5,-40.0,-36.5, 70,100, 0.39,250,23.0
2023-03-17 23:45:00,103.0000,21.3700, 300.0, 9600,-36.7,-40.1,-36.6, 71,101, 0.39,250,23.0
2023-03-17 23:45:00,103.0000,21.3700, 298.0, 9646,-37.1,-40.0,-36.5, 74,107, 0.40,250,23.2
2023-03-17 23:45:00,103.0000,21.3700, 295.0, 9716,-37.5,-43.5,-39.8, 54, 77, 0.28,249,23.5
2023-03-17 23:45:00,103.0000,21.3700, 280.0,10074,-40.2,-46.8,-43.0, 49, 73, 0.20,245,25.0
2023-03-17 23:45:00,103.0000,21.3700, 271.0,10298,-41.9,-48.9,-44.9, 47, 70, 0.17,251,27.9
2023-03-17 23:45:00,103.0000,21.3700, 263.0,10501,-43.7,-49.7,-45.7, 52, 79, 0.16,256,30.5
2023-03-17 23:45:00,103.0000,21.3700, 250.0,10840,-46.5,-54.5,-50.3, 40, 63, 0.09,265,35.0
2023-03-17 23:45:00,103.0000,21.3700, 247.0,10920,-46.9,-55.9,-51.7, 35, 56, 0.08,264,35.5
2023-03-17 23:45:00,103.0000,21.3700, 238.0,11164,-47.5,-63.5,-59.0, 15, 23, 0.03,262,37.2
2023-03-17 23:45:00,103.0000,21.3700, 216.0,11797,-51.5,-62.5,-58.0, 26, 43, 0.04,255,41.6
2023-03-17 23:45:00,103.0000,21.3700, 214.0,11857,-51.9,-74.9,-70.2,  5,  8, 0.01,255,42.0
2023-03-17 23:45:00,103.0000,21.3700, 200.0,12290,-54.9,-72.9,-68.2,  9, 16, 0.01,250,45.0
2023-03-17 23:45:00,103.0000,21.3700, 190.0,12616,-57.5,-75.5,-70.8,  9, 15, 0.01,245,46.0
2023-03-17 23:45:00,103.0000,21.3700, 184.0,12819,-59.1,-77.1,-72.4,  8, 15, 0.01,247,43.8
2023-03-17 23:45:00,103.0000,21.3700, 174.0,13168,-61.5,-69.5,-64.9, 34, 62, 0.02,251,40.0
2023-03-17 23:45:00,103.0000,21.3700, 167.0,13422,-63.3,-75.3,-70.6, 19, 35, 0.01,253,37.3
2023-03-17 23:45:00,103.0000,21.3700, 161.0,13647,-64.1,-86.1,-81.3,  4,  7, 0.00,256,34.8
2023-03-17 23:45:00,103.0000,21.3700, 150.0,14080,-65.9,-83.9,-79.1,  7, 13, 0.00,260,30.0
2023-03-17 23:45:00,103.0000,21.3700, 149.0,14120,-66.0,-84.0,-79.2,  7, 13, 0.00,260,30.0
2023-03-17 23:45:00,103.0000,21.3700, 129.0,14986,-69.3,-86.5,-81.8,  7, 14, 0.00,250,41.0
2023-03-17 23:45:00,103.0000,21.3700, 122.0,15321,-70.5,-87.5,-82.7,  7, 14, 0.00,260,44.0
2023-03-17 23:45:00,103.0000,21.3700, 117.0,15567,-71.4,-88.0,-83.2,  8, 15, 0.00,265,42.0
2023-03-17 23:45:00,103.0000,21.3700, 100.0,16490,-74.9,-89.9,-85.1,  9, 18, 0.00,255,30.0
